"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"AK",1.06230543991992,0.53650425699255,0.729271900008688,0.659251568353221,0.27463688343997,0.685999047816966,0.316488242418527,0.269904542888062,0.300319445385234,0.347622122990238,0.251249940379272,0.270499282665864,0.796475389925068,0.875876918983711,0.337728766103742,0.776678045888235,0.850708969747305,0.782283797312514,0.364936532855333,0.308873977186907,0.218671985945606,0.623894182517066,0.599198377381463,0.725198831237849,0.725815372027348,0.382035608036694,0.798087449831553,0.546627294077991,0.870825668698886,0.818609400272881,0.602970965872774,0.221237131933327,0.427846935353446,0.439524521089025,0.226750223606729,0.643060245002127,0.847067311785784,0.769830003989673,0.582216338877568,0.480558260553592,0.451158046633847,0.877310117271434,0.68199737722578,0.468556578029241,0.734699529272229,0.362006964521942,0.557352949338008,0.692857941829489,0.704259747377514,0.76765837858749,0.871251614954931
"AL",0.53650425699255,1.03760895641386,0.97576451927366,0.259605221765315,0.253368416470639,0.341222159446726,0.259480807013494,0.252363837473222,0.608312473028422,0.481420499390372,0.853148581731217,0.267263184694953,0.742814180218857,0.715356364133018,0.267735550025563,0.848598498719305,0.790331224665292,0.894980154824625,0.93746907384019,0.235945246457397,0.262708571096602,0.616704005451247,0.75060600299999,0.635268674001472,0.86904643745345,0.941995878534516,0.737777335211125,0.985609975548943,0.755459257422639,0.68793021354124,0.538078862423495,0.226893368775254,0.239169644974321,0.235891944397664,0.225239950190247,0.778284236221453,0.862317075646739,0.576080405782051,0.657594083474118,0.296033895532136,1.00497990856433,0.780003608929397,0.963748104020634,0.248032473584824,0.338871811639699,0.668762355462119,0.472332349726004,0.356348449162385,0.668733513714229,0.879539286429413,0.802525204012564
"AR",0.729271900008688,0.97576451927366,1.02395405717304,0.358839809107075,0.247016145031171,0.495889173324799,0.27571878910418,0.260264144056096,0.571753484915239,0.477937941604249,0.727439188698182,0.257736501899553,0.850706396283217,0.844124456878525,0.323186204106371,0.934396397254104,0.914861043444864,0.97668221794792,0.838944375422172,0.254605301335414,0.2469429904483,0.68454636480563,0.793008807203597,0.745715019698789,0.933606758437401,0.841893584898089,0.843734286822654,0.967795784283325,0.880005387506717,0.805225428504509,0.616436140942151,0.228245272153111,0.244330829468201,0.258533550210763,0.227190262536222,0.829685188277015,0.951884580363256,0.712549250246367,0.712677578322675,0.375391541694799,0.937056767563191,0.906318247857645,1.00120440338387,0.244137043693322,0.474644133338331,0.652970441083157,0.545107879844482,0.49896028404551,0.76038417072148,0.953387702219815,0.917587328575539
"AZ",0.659251568353221,0.259605221765315,0.358839809107075,1.0553609457651,0.701246723406341,0.705506454659083,0.642694976228128,0.250274072080714,0.442892966530796,0.705082646955125,0.223255125938822,0.584106996608349,0.552272106001161,0.616211440031335,0.712703323986082,0.527721343593634,0.497379408088634,0.466068912727313,0.249435175227706,0.626391595376917,0.261316273745383,0.536278475944451,0.566490061933491,0.576811982596031,0.479553373315741,0.236001524664253,0.52188197021307,0.287538916051882,0.505164182608538,0.607316838308051,0.556394785462248,0.668479867120431,0.729133796119945,0.968703318993306,0.669544031549853,0.567593269198541,0.489109277062191,0.701384417524324,0.621803773818041,0.770116982641915,0.257627618009448,0.518638421051887,0.363400882564929,0.684543056855069,0.653815561725148,0.341571758801079,0.477845408724225,0.814493635746343,0.607865858935914,0.489079617643435,0.506557898673743
"CA",0.27463688343997,0.253368416470639,0.247016145031171,0.701246723406341,1.05154105493551,0.332054819319684,0.373765163628811,0.393515260144677,0.254241538319286,0.403898191753994,0.245149829946524,0.899414332979716,0.235597206096044,0.239955716103093,0.445392397595128,0.239267079674265,0.243261414111099,0.242454735413384,0.246101185596093,0.411475288711904,0.277657286857721,0.250953991006335,0.254426149282394,0.256073733992742,0.238282769435277,0.276067495410577,0.2358801218216,0.247557113914661,0.238727307978138,0.240178781632499,0.262236472204114,0.650021190833644,0.811247614476275,0.762181223530437,0.69414561449947,0.252176955558116,0.265512346203666,0.270553214726625,0.269205887564335,0.403250335850424,0.254630779398628,0.239670436858912,0.246529860957702,0.730669236191167,0.27708329480709,0.247365808313212,0.25287331041694,0.385195135494126,0.256422922094959,0.239816084098465,0.239685868141825
"CO",0.685999047816966,0.341222159446726,0.495889173324799,0.705506454659083,0.332054819319684,1.0188291096954,0.686875248009504,0.246366956466191,0.43407161200414,0.459205538084198,0.232563233475743,0.249139061090021,0.742922827798374,0.78264967108054,0.690784454274974,0.690200070975543,0.769852975993121,0.642883715633512,0.251633228258697,0.754692790768048,0.265173309484742,0.679065195845953,0.670786915579506,0.854162069864112,0.681775579037611,0.249873899573168,0.739833938565755,0.437994677690807,0.74320868308583,0.814150951389134,0.761766433488499,0.532848802801424,0.287148194343247,0.479018554956784,0.499634173435683,0.701419264902577,0.600839642742583,0.880254686071498,0.741039008280165,0.777028275565185,0.316935587127334,0.724596002657931,0.541021678921239,0.291999472213589,0.794085613296797,0.652345747532507,0.663850912056071,0.928115692557464,0.759470870393765,0.628685445719332,0.70483014945739
"CT",0.316488242418527,0.259480807013494,0.27571878910418,0.642694976228128,0.373765163628811,0.686875248009504,1.05383925891108,0.271968201716382,0.809590072367872,0.750793560267331,0.236700498153155,0.329554507941998,0.586323993385075,0.496989933692392,0.896148023590942,0.454128119050426,0.404992035881888,0.395641318772479,0.250144303128733,0.988637851945871,0.566871361298888,0.778353687299131,0.70038896718694,0.699511257141553,0.483260261411036,0.221100827077254,0.588630975034963,0.332141198065423,0.458271945464215,0.576322210398864,0.842843498538712,0.850201770046939,0.356227750723589,0.593702225850513,0.755844563584403,0.643494461092187,0.247114187333845,0.721648389231621,0.798302134532291,0.970547519069699,0.287849489843282,0.469569481951195,0.302980708128297,0.245145105354771,0.505014357552744,0.736520620585616,0.832006644387957,0.831163108222066,0.726215705939431,0.458721664297297,0.437333117597181
"DC",0.269904542888062,0.252363837473222,0.260264144056096,0.250274072080714,0.393515260144677,0.246366956466191,0.271968201716382,1.02551295912887,0.27733030976961,0.252731854518784,0.256778982163917,0.308374501939169,0.244672234068079,0.249084543327173,0.310143891882549,0.245872114581823,0.256890008294808,0.253009072426396,0.249424640648517,0.360236237628368,0.764334122339808,0.236093886277244,0.240689515021262,0.238039924652974,0.243730855531986,0.235981520695603,0.249329090069452,0.247633287318303,0.256240651421654,0.243103285033813,0.240581248075448,0.468904709539252,0.245948697893982,0.24902292948463,0.533986448048301,0.233588702992796,0.26180828145077,0.238485454564603,0.243189402569818,0.262498985617092,0.247179210658491,0.257302939294863,0.254303405897039,0.248077638790749,0.245344636694048,0.267401542013196,0.247113646551748,0.240034237690495,0.23513656983582,0.250885405608642,0.258517719994709
"DE",0.300319445385234,0.608312473028422,0.571753484915239,0.442892966530796,0.254241538319286,0.43407161200414,0.809590072367872,0.27733030976961,1.0502698147359,0.805469572279204,0.595762830506257,0.246281985113871,0.720695246965002,0.596099126519739,0.816671343153826,0.682196546805414,0.524359321291619,0.636500418528798,0.648835575993447,0.695558935521099,0.603643533980328,0.813038810392407,0.89808935035704,0.721756105195236,0.711750573023127,0.520256095584993,0.671535313845954,0.700122029109699,0.571349551038843,0.650744618017239,0.799549510732872,0.582220403347783,0.252658280690296,0.486119087510001,0.556387460228243,0.838370491451156,0.400126832000734,0.684892934840235,0.896716899446125,0.801876238212205,0.697604866407829,0.59323156785886,0.60584682420828,0.237457748489857,0.414238894354022,0.884017475906982,0.791454720428688,0.630897953372777,0.811935471258088,0.677351599603087,0.566048879166193
"FL",0.347622122990238,0.481420499390372,0.477937941604249,0.705082646955125,0.403898191753994,0.459205538084198,0.750793560267331,0.252731854518784,0.805469572279204,1.02709744880103,0.376182299980666,0.387308312091826,0.56524336698326,0.529751366769821,0.750097407972227,0.570276646029473,0.455069728480897,0.541733490510555,0.432518651273624,0.595773562142905,0.451272820294357,0.693283497678898,0.745766888118293,0.580716328821836,0.577609701254579,0.351505028029652,0.573379897852022,0.545491728821017,0.427986360003395,0.547426487823247,0.685904530610212,0.698693884460664,0.477398242155726,0.743335539431134,0.64369297459048,0.701813679362604,0.446635592807975,0.705221189945891,0.804759586562654,0.775214348519044,0.533921636048793,0.490868705772069,0.513349872817421,0.331236457838086,0.300406860816025,0.625837249442406,0.595667988255126,0.650751679505167,0.677970001555533,0.616250367194476,0.494978702212218
