"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"AK",0.000307006272136856,0.000139544757243762,0.00018968362119226,0.000171471332928673,7.14330533827362e-05,0.000178428352337193,8.2318591853059e-05,7.02021716051849e-05,7.81130877446993e-05,9.04165141897609e-05,6.53501094926486e-05,7.03568634213912e-05,0.00020716324891951,0.000227815586627663,8.78432520635833e-05,0.00020201395973553,0.000221269403031274,0.000203472015680985,9.4919992195672e-05,8.03381214663144e-05,5.68765835444521e-05,0.000162274876872689,0.000155851497956918,0.000188624216004964,0.000188784578264313,9.93674616503441e-05,0.000207582545701187,0.000142177759189685,0.00022650175642858,0.000212920305010976,0.000156832748223508,5.75437780158583e-05,0.000111282987885431,0.000114320327935256,5.89777331601102e-05,0.000167259969725053,0.000220322207795482,0.000200232784037714,0.000151434469742055,0.000124993203569989,0.000117346207929464,0.0002281883615023,0.000177387517816425,0.000121871565945406,0.000191095347563707,9.41580114721572e-05,0.000144967502122816,0.00018021235066985,0.000183177960292891,0.000199667944270606,0.000226612545049778
"AL",0.000139544757243762,0.000299868988403606,0.000253796351463079,6.75233181811584e-05,6.59011251240132e-05,8.87518836720934e-05,6.74909579042098e-05,6.56398341267851e-05,0.000158222074234692,0.000125217471891436,0.000221903946108289,6.95151543391572e-05,0.000193205968274925,0.000186064190310998,6.96380165616489e-05,0.000220720469516891,0.000205565151535442,0.000232784338269885,0.000243835706105834,6.1369358603569e-05,6.83304993422261e-05,0.000160404711817869,0.000195232621380297,0.000165233382107783,0.000226038978381642,0.000245013128006828,0.000191895884888414,0.00025635715464028,0.000196494952855628,0.000178930648542077,0.000139954312116351,5.90149652184436e-05,6.2208024657821e-05,6.13554947378323e-05,5.85849110444833e-05,0.0002024317298412,0.000224288671375717,0.000149838513543911,0.000171040221111618,7.69984162279086e-05,0.000261395274217583,0.000202878938682536,0.000250670881855767,6.45132463794128e-05,8.81405582074856e-05,0.000173945088655697,0.000122853644163734,9.26862316271365e-05,0.000173937586917071,0.00022876816840029,0.000208736805563668
"AR",0.00018968362119226,0.000253796351463079,0.000295922722523007,9.33342343487502e-05,6.42488993226075e-05,0.00012898077398178,7.17144570459973e-05,6.76947038689905e-05,0.000148713081426454,0.000124311658611265,0.000189206932980397,6.70372641440739e-05,0.000221268733673265,0.000219556771234104,8.40607316880671e-05,0.000243036502925792,0.000237955357400009,0.000254035044888254,0.000218209432047307,6.62228388773413e-05,6.42298718156028e-05,0.000178050509485944,0.000206261590753656,0.000193960476623655,0.000242831117869568,0.000218976521431993,0.000219455288002572,0.000251723683492093,0.000228889401290497,0.000209439133954023,0.000160335040259054,5.93665952870242e-05,6.35504487446791e-05,6.72445764098196e-05,5.90921872856712e-05,0.000215801117470852,0.000247585179352483,0.00018533405998908,0.000185367438121728,9.76393399948173e-05,0.000243728465243186,0.000235733376267773,0.000260413265320144,6.35000450646331e-05,0.0001234549390813,0.000169837611725729,0.00014178255954755,0.000129779569880237,0.000197775922804657,0.000247976141347374,0.000238664464162498
"AZ",0.000171471332928673,6.75233181811584e-05,9.33342343487502e-05,0.000304999313326115,0.000182394272757989,0.000183502228856828,0.000167164963316936,6.50962861481938e-05,0.00011519646059466,0.000183391996473028,5.80686582566876e-05,0.000151926229817832,0.000143645974770902,0.00016027659555215,0.00018537413456878,0.000137260321468704,0.000129368384043854,0.000121224524200374,6.48780890767264e-05,0.000162924453957536,6.7968362801174e-05,0.000139486031593152,0.000147344065108901,0.000150028796673228,0.000124731832399424,6.13839965651723e-05,0.000135741500452419,7.47888720650945e-05,0.000131393203896481,0.000157963109643924,0.000144718283698731,0.000173871613438024,0.000189647700370798,0.000251959733270159,0.000174148402606117,0.00014763100931854,0.000127217322963876,0.000182430086998077,0.000161731161570073,0.000200307427185162,6.70089434442573e-05,0.000134897853315596,9.4520569555138e-05,0.000178049649088003,0.000170057427604711,8.88428144641606e-05,0.000124287590809171,0.000211849794657624,0.000158105909909231,0.000127209608549057,0.000131755709445041
"CA",7.14330533827362e-05,6.59011251240132e-05,6.42488993226075e-05,0.000182394272757989,0.000303895364876363,8.63674585050497e-05,9.72163190598538e-05,0.00010235331916363,6.61282241168462e-05,0.000105053919675214,6.37634707690908e-05,0.000233937668008024,6.1278833305581e-05,6.24124817584146e-05,0.000115846562614493,6.22333674232765e-05,6.32722938102968e-05,6.30624766810211e-05,6.40109183735438e-05,0.000107024722593966,7.22186603116931e-05,6.52731330607479e-05,6.61762414283507e-05,6.66047782115122e-05,6.19773483301156e-05,7.18051555562911e-05,6.13524196857981e-05,6.43896053292032e-05,6.20929728051138e-05,6.24705011026131e-05,6.820770642029e-05,0.000169070511735831,0.000211005504525279,0.000198243336240267,0.000180547274331312,6.5591226140666e-05,6.90597612475736e-05,7.03708911503952e-05,7.00204513554835e-05,0.000104885412354695,6.62294657215831e-05,6.2338280627003e-05,6.41224168350983e-05,0.000190047068333323,7.20693649793241e-05,6.43398467422665e-05,6.57723480394462e-05,0.000100189254742022,6.66956020368989e-05,6.23761634740107e-05,6.23422943036887e-05
"CO",0.000178428352337193,8.87518836720934e-05,0.00012898077398178,0.000183502228856828,8.63674585050497e-05,0.000294441612701971,0.000178656252007272,6.40800453768563e-05,0.000112902026282277,0.0001194393604557,6.04896970270407e-05,6.48010697895144e-05,0.000193234227510357,0.000203567179448048,0.000179673036556921,0.000179521038460739,0.000200238759055811,0.000167214054436276,6.5449802670087e-05,0.000196295594878769,6.89715777969814e-05,0.000176624857439532,0.00017447167674223,0.000222167554371656,0.000177329828107683,6.49922012789811e-05,0.000192430807420953,0.000113922415667379,0.000193308578470624,0.000211760662456314,0.000198135449350359,0.00013859397360865,7.46872453486787e-05,0.00012459272614426,0.000129954848510621,0.00018243915080116,0.000156278391077346,0.000228954243847197,0.000192744246053671,0.000202105054474505,8.24349462118195e-05,0.000188467420291328,0.000140719738687414,7.59490627227546e-05,0.000206541668018497,0.000169675128933205,0.000172667622225784,0.000241402891634197,0.000197538373389418,0.000163521084431598,0.000183326321873867
"CT",8.2318591853059e-05,6.74909579042098e-05,7.17144570459973e-05,0.000167164963316936,9.72163190598538e-05,0.000178656252007272,0.000304559545825302,7.07389292664311e-05,0.000210574377822884,0.000195281405025533,6.15657995696357e-05,8.57171275157138e-05,0.000152502870679458,0.000129267081753391,0.000233088100936004,0.000118118723765016,0.000105338428532879,0.000102906307012722,6.50625332437835e-05,0.000257144705291121,0.000147443241073841,0.000202449794066504,0.000182171170365323,0.000181942877982518,0.00012569599399301,5.75083251227936e-05,0.000153102916606594,8.63899256168166e-05,0.000119196533015242,0.000149901406924745,0.000219223593969919,0.000221137480389209,9.26548379632054e-05,0.000154421948943718,0.000196595170988303,0.000167372909330078,6.4274400125533e-05,0.000187700746039145,0.000207638385191849,0.000252439409710029,7.48696523082377e-05,0.000122135022255506,7.88052821841702e-05,6.37622419027759e-05,0.000131354234399469,0.000191569013414319,0.000216404928205308,0.00021618552444856,0.000188888705114846,0.000119313504883727,0.000113750343887027
"DC",7.02021716051849e-05,6.56398341267851e-05,6.76947038689905e-05,6.50962861481938e-05,0.00010235331916363,6.40800453768563e-05,7.07389292664311e-05,0.000296373245188242,7.21336135710757e-05,6.57355553603358e-05,6.67882132608349e-05,8.0208207954378e-05,6.36392480811073e-05,6.47868897193978e-05,8.06684262786511e-05,6.39513370027321e-05,6.68170911574795e-05,6.58076597381056e-05,6.48753490326792e-05,9.36974454071386e-05,0.000198803305220584,6.14080198207112e-05,6.26033428570303e-05,6.19141844022385e-05,6.33943955238697e-05,6.13787935329264e-05,6.48504963270645e-05,6.44094180314905e-05,6.66481934347722e-05,6.32311644372949e-05,6.25751826244241e-05,0.00012196211495116,6.39712563222247e-05,6.47708639589522e-05,0.000138889875137363,6.07564216484262e-05,6.80963340053453e-05,6.20300667322532e-05,6.32535636084097e-05,6.82759861590057e-05,6.42913126922736e-05,6.69244945105939e-05,6.61443158738198e-05,6.45249938494739e-05,6.38141400041219e-05,6.95511410776322e-05,6.42742594681097e-05,6.24329052232978e-05,6.11590218142967e-05,6.52552939988077e-05,6.72404589706239e-05
"DE",7.81130877446993e-05,0.000158222074234692,0.000148713081426454,0.00011519646059466,6.61282241168462e-05,0.000112902026282277,0.000210574377822884,7.21336135710757e-05,0.000303527976458675,0.000209502635749821,0.000154957912214678,6.40579443281177e-05,0.000187452833735597,0.000155045382807784,0.00021241621635431,0.000177439321824088,0.00013638585946795,0.00016555375885934,0.000168762133315895,0.000180914879129038,0.000157007683188283,0.000211471394583065,0.000233593040027866,0.000187728762961281,0.000185126324043315,0.000135318610461657,0.000174666335131333,0.000182101739771433,0.000148608018225203,0.000169258675146284,0.00020796282774162,0.000151435526910758,6.57164188075459e-05,0.000126439574661351,0.000144716378405366,0.000218060164826446,0.000104072989003391,0.000178140652351945,0.000233236065545937,0.000208568009558995,0.000181447025752676,0.00015429953080009,0.000157580758976574,6.17627603822117e-05,0.000107743536421481,0.000229932945483406,0.000205857372783502,0.000164096557672259,0.000211184416074229,0.000176179151056763,0.000147229313471127
"FL",9.04165141897609e-05,0.000125217471891436,0.000124311658611265,0.000183391996473028,0.000105053919675214,0.0001194393604557,0.000195281405025533,6.57355553603358e-05,0.000209502635749821,0.000296831162703498,9.78450162249713e-05,0.000100738891975084,0.000147019799752346,0.00013778833049683,0.000195100335813576,0.000148328955632266,0.000118363636377881,0.000140904880881795,0.00011249810119627,0.00015496070351337,0.000117376060558562,0.000180323037746281,0.000193973967599568,0.00015104431712656,0.000150236283296316,9.14264577905125e-05,0.000149136111431311,0.000141882398666346,0.000111319252236883,0.000142385629482827,0.000178403768411716,0.000181730279348219,0.000124171282784704,0.000193341573806038,0.000167424542690984,0.000182541738002213,0.000116169917689354,0.000183428031504926,0.000209317968464946,0.000201633252049803,0.000138873017536291,0.000127674950371315,0.000133522301919811,8.61546026836862e-05,7.81358244982481e-05,0.00016278026857997,0.000154933243745158,0.000169260511839294,0.000176339997404594,0.000160286720507283,0.000128743960445398
