"","pollster","date_start","date_median","date_end","mode","sample_size","sample_space","percent_biden","percent_trump","state_abb","state_full"
"1","HarrisX",2018-12-16,2018-12-16,2018-12-17,"Internet",1001,"RV",42,36,"--","--"
"2","Public Policy Polling",2019-01-19,2019-01-20,2019-01-21,"IVR/Internet",760,"RV",53,41,"--","--"
"3","Øptimus",2019-01-30,2019-01-31,2019-02-01,"Live Phone",1084,"LV",50,43,"--","--"
"4","Change Research",2019-01-31,2019-01-31,2019-02-01,"Internet",1338,"LV",52,45,"--","--"
"5","Emerson College",2019-02-14,2019-02-15,2019-02-16,"IVR/Internet",1000,"RV",55,45,"--","--"
"6","D-CYFOR",2019-02-22,2019-02-22,2019-02-23,"Internet",1000,"RV",51,40,"--","--"
"7","Change Research",2019-03-08,2019-03-09,2019-03-10,"Internet",4049,"LV",51,46,"--","--"
"8","Emerson College",2019-03-17,2019-03-17,2019-03-18,"IVR/Internet",1153,"RV",55,45,"--","--"
"9","HarrisX",2019-03-17,2019-03-17,2019-03-18,"Internet",1001,"RV",44,33,"--","--"
"10","Fox News",2019-03-17,2019-03-18,2019-03-20,"Live Phone",1002,"RV",47,40,"--","--"
"11","Rasmussen Reports/Pulse Opinion Research",2019-03-17,2019-03-22,2019-03-28,"IVR/Internet",5000,"LV",49,44,"--","--"
"12","Public Policy Polling",2019-03-27,2019-03-27,2019-03-28,"IVR/Internet",846,"RV",53,40,"--","--"
"13","HarrisX",2019-03-31,2019-03-31,2019-04-01,"Internet",1000,"RV",45,36,"--","--"
"14","Civiqs",2019-04-06,2019-04-07,2019-04-09,"Internet",1584,"RV",45,45,"--","--"
"15","Emerson College",2019-04-11,2019-04-12,2019-04-14,"IVR/Internet",914,"RV",53,47,"--","--"
"16","HarrisX",2019-04-25,2019-04-25,2019-04-26,"Internet",1000,"RV",43,37,"--","--"
"17","CNN/SSRS",2019-04-25,2019-04-26,2019-04-28,"Live Phone",470,"RV",51,45,"--","--"
"18","HarrisX",2019-04-28,2019-04-28,2019-04-29,"Internet",1002,"RV",43,36,"--","--"
"19","Zogby Analytics",2019-05-02,2019-05-05,2019-05-09,"Internet",903,"LV",49,39,"--","--"
"20","Emerson College",2019-05-10,2019-05-11,2019-05-13,"IVR/Internet",1006,"RV",54,46,"--","--"
"21","Fox News",2019-05-11,2019-05-12,2019-05-14,"Live Phone",1008,"RV",49,38,"--","--"
"22","Civiqs",2019-05-12,2019-05-13,2019-05-14,"Internet",1650,"RV",48,44,"--","--"
"23","Change Research",2019-05-18,2019-05-19,2019-05-21,"Internet",2904,"LV",47,46,"--","--"
"24","HarrisX",2019-05-25,2019-05-25,2019-05-26,"Internet",1001,"RV",43,36,"--","--"
"25","Ipsos",2019-05-29,2019-06-01,2019-06-05,"Internet",3851,"RV",50,36,"--","--"
"26","Basswood Research",2019-06-03,2019-06-04,2019-06-06,"Live Phone",1200,"LV",48,44,"--","--"
"27","Quinnipiac University",2019-06-06,2019-06-08,2019-06-10,"Live Phone",1214,"RV",53,40,"--","--"
"28","Fox News",2019-06-09,2019-06-10,2019-06-12,"Live Phone",1001,"RV",49,39,"--","--"
"29","Emerson College",2019-06-21,2019-06-22,2019-06-24,"IVR/Internet",1096,"RV",55,45,"--","--"
"30","HarrisX",2019-06-22,2019-06-22,2019-06-23,"Internet",1001,"RV",41,40,"--","--"
"31","Rasmussen Reports/Pulse Opinion Research",2019-06-23,2019-06-27,2019-07-02,"IVR/Internet",4500,"LV",48,44,"--","--"
"32","ABC News/The Washington Post",2019-06-28,2019-06-29,2019-07-01,"Live Phone",875,"RV",53,43,"--","--"
"33","Emerson College",2019-07-06,2019-07-07,2019-07-08,"IVR/Internet",1100,"RV",53,47,"--","--"
"34","NBC News/The Wall Street Journal",2019-07-07,2019-07-08,2019-07-09,"Live Phone",800,"RV",51,42,"--","--"
"35","Fox News",2019-07-21,2019-07-22,2019-07-23,"Live Phone",1004,"RV",49,39,"--","--"
"36","HarrisX",2019-07-25,2019-07-25,2019-07-26,"Internet",1000,"RV",42,39,"--","--"
"37","Emerson College",2019-07-27,2019-07-28,2019-07-29,"IVR/Internet",1233,"RV",51,49,"--","--"
"38","IBD/TIPP",2019-07-25,2019-07-28,2019-08-01,"Live Phone",856,"RV",54,41,"--","--"
"39","Claster Consulting",2019-07-29,2019-07-30,2019-07-31,"Internet",832,"LV",47,41,"--","--"
"40","SurveyUSA",2019-08-01,2019-08-03,2019-08-05,"Internet",5459,"RV",50,42,"--","--"
"41","Zogby Analytics",2019-08-09,2019-08-10,2019-08-12,"Internet",897,"LV",45,46,"--","--"
"42","Fox News",2019-08-11,2019-08-12,2019-08-13,"Live Phone",1013,"RV",50,38,"--","--"
"43","HarrisX",2019-08-22,2019-08-22,2019-08-23,"Internet",1002,"RV",44,37,"--","--"
"44","Quinnipiac University",2019-08-21,2019-08-23,2019-08-26,"Live Phone",1422,"RV",54,38,"--","--"
"45","Emerson College",2019-08-24,2019-08-25,2019-08-26,"IVR/Internet",1458,"RV",54,46,"--","--"
"46","IBD/TIPP",2019-08-22,2019-08-26,2019-08-30,"Live Phone",848,"RV",54,42,"--","--"
"47","ABC News/The Washington Post",2019-09-02,2019-09-03,2019-09-05,"Live Phone",877,"RV",55,40,"--","--"
"48","SurveyUSA",2019-09-13,2019-09-14,2019-09-16,"Internet",4520,"RV",49,41,"--","--"
"49","YouGov",2019-09-14,2019-09-15,2019-09-17,"Internet",1184,"RV",45,41,"--","--"
"50","Fox News",2019-09-15,2019-09-16,2019-09-17,"Live Phone",1008,"RV",52,38,"--","--"
"51","Zogby Analytics",2019-09-16,2019-09-16,2019-09-17,"Internet/Live Phone",1004,"LV",49,44,"--","--"
