"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"AK",0.0344186962534053,0.0156444641339028,0.0212655686042534,0.0192237757331799,0.00800841152110952,0.0200037322343427,0.00922879714892426,0.00787041647061588,0.00875731502743341,0.0101366611063953,0.00732644826145957,0.00788775908253659,0.023225222370215,0.025540570957565,0.00984817081958511,0.0226479318181009,0.0248066735578314,0.0228113955296329,0.0106415492980615,0.00900676517477019,0.00637647511017387,0.0181927543621976,0.0174726246844434,0.0211467979188957,0.0211647762483175,0.01114015833035,0.0232722300370881,0.0159396518953142,0.0253932764992595,0.0238706501119572,0.0175826333648501,0.00645127476717581,0.0124760166349065,0.012816535034956,0.00661203652037221,0.018751636744262,0.0247004828116735,0.0224482429163389,0.0169774284416699,0.0140130788777427,0.013155768639843,0.025582363019635,0.0198870435199037,0.0136631098153327,0.0214238382735782,0.0105561230854598,0.0162524120026963,0.0202037375837479,0.0205362142335283,0.0223849183196112,0.0254056970920858
"AL",0.0156444641339028,0.0336185301878091,0.0284532933820199,0.00757008826667658,0.00738822302428383,0.00995003816946653,0.00756646033251348,0.00735892950071916,0.0177383917135088,0.0140382217622233,0.0248778126432823,0.00779339446570482,0.0216604614951819,0.0208597915781188,0.00780716863874541,0.0247451322226549,0.0230460585112399,0.0260976213146861,0.02733659819318,0.00688016338669769,0.0076605819331769,0.0179830887989584,0.0218876710474797,0.0185244345338829,0.0253413941161426,0.0274685998180665,0.0215135870947564,0.0287403868870072,0.0220291919464441,0.0200600450268626,0.0156903796282691,0.0066162106334864,0.00697418684745121,0.00687860909863587,0.00656799694754761,0.0226947683282176,0.0251451659258589,0.0167985046326046,0.0191754434741053,0.00863234839371709,0.029305214133736,0.0227449052363812,0.0281028947132417,0.00723262692973348,0.00988150202741361,0.0195011102852754,0.0137732113180103,0.0103911207775752,0.0195002692599069,0.0256473655922817,0.0234016349490064
"AR",0.0212655686042534,0.0284532933820199,0.0331761114524064,0.0104637688335623,0.00720299078910894,0.0144601282941511,0.0080399598902779,0.00758930244067575,0.0166723316201284,0.0139366703771799,0.021212126742439,0.00751559639539098,0.0248065985156186,0.0246146691625778,0.00942410971174178,0.0272469989439297,0.0266773480268522,0.0284800534753613,0.0244636179873105,0.00742429058694068,0.00720085760147242,0.0199613719977322,0.0231241368180569,0.0217450499744167,0.0272239730760346,0.0245496169356283,0.0246032918037486,0.0282209250697018,0.0256609570996959,0.0234803734951915,0.0179752778698731,0.00665563213598471,0.00712468698729274,0.00753883832414586,0.00662486805555622,0.0241936200901578,0.0277569543633925,0.0207779361371841,0.0207816781838892,0.0109464173558203,0.0273245753421426,0.0264282401075289,0.0291951204026735,0.00711903619409727,0.0138406229281457,0.0190406180619849,0.0158953457762651,0.0145496818827671,0.0221728024182383,0.0278007853967298,0.0267568465012627
"AZ",0.0192237757331799,0.00757008826667658,0.0104637688335623,0.0341936946427894,0.0204483544545289,0.0205725682178589,0.0187409855068122,0.00729799194187362,0.012914758904038,0.0205602099852115,0.00651011947237604,0.0170325600210995,0.0161042546109939,0.0179687255913137,0.0207824289274341,0.0153883543791904,0.0145035835398646,0.0135905694951285,0.00727352970963991,0.0182655789211909,0.00761998254241536,0.0156378803585402,0.0165188502059806,0.0168198374125003,0.013983776365887,0.00688180445920963,0.0152180782514131,0.00838463479207288,0.014730587564865,0.0177093590050628,0.0162244719440792,0.0194928729252318,0.0212615414948576,0.0282473887818448,0.0195239039599937,0.0165510197298294,0.0142624265191335,0.0204523696150093,0.0181317980445341,0.0224566112138382,0.00751242134115549,0.015123496357873,0.0105967697355933,0.0199612755378938,0.0190652617799053,0.00996023248663946,0.0139339721183984,0.0237506344183634,0.0177253684465713,0.0142615616504826,0.0147712283253264
"CA",0.00800841152110952,0.00738822302428383,0.00720299078910894,0.0204483544545289,0.0340699301799106,0.00968271853136197,0.0108989921714161,0.0114749049858188,0.00741368325739037,0.0117776712715465,0.00714856904124063,0.0262269219496885,0.00687001452976063,0.00699710868156621,0.0129876423138739,0.00697702804330158,0.00709350283547964,0.00706998008465427,0.00717631057198208,0.0119986194188391,0.00809648648477113,0.00731781837774474,0.0074190665130746,0.00746711008322836,0.00694832555673268,0.00805012816617242,0.00687826435231785,0.0072187654417515,0.00696128830064251,0.00700361327240368,0.00764681552947196,0.0189546179247091,0.0236559804381282,0.0222252044781475,0.0202412861188045,0.00735348002407466,0.00774234001529891,0.00788933174142839,0.00785004368137601,0.0117587797933984,0.00742503352726399,0.00698878993880587,0.00718881074552658,0.0213063149273344,0.00807974887657474,0.00721318697041326,0.00737378573175798,0.0112322901510087,0.00747729240828901,0.00699303701231124,0.00698923991501562
"CO",0.0200037322343427,0.00995003816946653,0.0144601282941511,0.0205725682178589,0.00968271853136197,0.0330100631541309,0.0200292822319571,0.00718406045055413,0.0126575282060407,0.0133904334905352,0.00678154388815266,0.00726489502138501,0.0216636296586006,0.0228220644087085,0.0201432746866582,0.0201262340696468,0.0224489127799594,0.0187464891478732,0.00733762493602359,0.0220068417787963,0.00773245370457508,0.019801541110868,0.0195601464582984,0.0249073659572375,0.0198805758847367,0.00728632291155359,0.0215735576485774,0.0127719248014639,0.0216719651987828,0.0237406417425071,0.0222131092005246,0.0155378710896895,0.0083732413470491,0.0139681810625398,0.0145693324973845,0.0204533857645591,0.0175204839823737,0.0256682266458449,0.0216086974814496,0.0226581445154808,0.00924184172063305,0.0211292194375053,0.0157761921573433,0.00851470460974827,0.0231555364837346,0.0190224019980479,0.019357892595555,0.0270638535949757,0.0221461705806822,0.0183324675971757,0.0205528471581775
"CT",0.00922879714892426,0.00756646033251348,0.0080399598902779,0.0187409855068122,0.0108989921714161,0.0200292822319571,0.0341443919887189,0.00793059276204971,0.0236076465102471,0.0218931402173954,0.006902186526146,0.00960980945158867,0.0170972076471088,0.0144922264664702,0.0261316763679119,0.0132423759515104,0.0118095677663158,0.0115369008554055,0.00729420787923385,0.0288286797627416,0.0165299688954756,0.0226967935216427,0.0204233422831712,0.0203977482582477,0.0140918692227458,0.00644730011757271,0.0171644792320195,0.00968523733558774,0.0133632099297365,0.0168055556552309,0.0245773164173889,0.0247918836145687,0.0103876012110998,0.0173123569058009,0.0220404274741212,0.0187642984854482,0.00720584970265491,0.0210432670299941,0.0232784902429616,0.0283011656560724,0.0083936911238301,0.0136926460936969,0.00883491744902115,0.00714843127214512,0.014726218666238,0.0214769412962766,0.0242613137503528,0.0242367162357555,0.0211764499851938,0.0133763237309092,0.0127526337091338
"DC",0.00787041647061588,0.00735892950071916,0.00758930244067575,0.00729799194187362,0.0114749049858188,0.00718406045055413,0.00793059276204971,0.0332266198757752,0.00808695183288184,0.00736966087776775,0.00748767511989983,0.00899220047654618,0.00713464234542518,0.00726330528342038,0.00904379588729514,0.00716963086120595,0.00749091264187659,0.00737774455195371,0.00727322252131075,0.0105044886892432,0.0222879830074288,0.00688449772384444,0.00701850625802001,0.00694124420288072,0.00710719174731272,0.00688122114348379,0.00727043626642522,0.0072209866582017,0.00747197739545543,0.007088891791586,0.00701534919388007,0.0136732613301646,0.00717186403058851,0.0072615086237718,0.0155710448250885,0.00681144657926992,0.00763432948710445,0.00695423585510382,0.0070914029789359,0.00765447042059441,0.00720774578280161,0.00750295370983821,0.00741548731595765,0.00723394394713825,0.00715424960599844,0.00779742896510478,0.00720583393344898,0.00699939837105484,0.0068565823764125,0.00731581842754799,0.00753837671504572
"DE",0.00875731502743341,0.0177383917135088,0.0166723316201284,0.012914758904038,0.00741368325739037,0.0126575282060407,0.0236076465102471,0.00808695183288184,0.0340287419974431,0.0234874927276616,0.0173724441375625,0.00718158268592047,0.0210154734014995,0.0173822505293156,0.0238141363663656,0.0198928513048459,0.0152903178088636,0.0185603522042998,0.0189200453959689,0.0202824985597953,0.0176022454508664,0.0237082117110426,0.0261882854564113,0.0210464080274931,0.0207546467093544,0.0151706677472584,0.019581969751748,0.0204155583688388,0.0166605529082926,0.0189757130613827,0.0233148637329706,0.0169775469616214,0.00736751546492902,0.0141752325917916,0.0162242583402556,0.0244468835307157,0.0116676984211414,0.0199714779799413,0.026148264787849,0.0233827111062679,0.0203421579044523,0.0172986325187644,0.0176664933939134,0.00692426794596422,0.0120792061593633,0.0257779495974476,0.0230788196477005,0.0183969843203502,0.0236760383418858,0.019751572644426,0.0165059853164862
"FL",0.0101366611063953,0.0140382217622233,0.0139366703771799,0.0205602099852115,0.0117776712715465,0.0133904334905352,0.0218931402173954,0.00736966087776775,0.0234874927276616,0.0332779573411535,0.0109694758674362,0.0112939103805976,0.0164824965812319,0.015447549855008,0.0218728404164701,0.0166292669982194,0.013269833282503,0.0157969485832878,0.0126122438711389,0.0173727570720871,0.0131591154397835,0.0202161467923167,0.0217465624575294,0.0169336881484447,0.0168430988885835,0.0102498866173447,0.016719757821365,0.0159065388124209,0.012480082257699,0.0159629563849259,0.0200009761125938,0.0203739136708729,0.013920932741261,0.0216756643298119,0.0187700871390584,0.0204648868902135,0.0130238938862806,0.0205642498988222,0.023466789544167,0.0226052504028153,0.0155691549071828,0.0143137314603135,0.014969282291356,0.00965885511055859,0.00875986406139528,0.0182494141937406,0.0173696785375195,0.0189759189743707,0.0197696052453593,0.0179698607073909,0.0144335789565083
