"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"AK",0.00646306629647278,0.00293768270958841,0.00399320121568757,0.0036097978876749,0.0015038017189639,0.00375625638622658,0.00173296302018689,0.00147788931503787,0.00164442915515139,0.00190343969664535,0.00137574417354074,0.0014811458721652,0.0043611806450737,0.00479595165758721,0.00184926763167765,0.00425277830806562,0.00465814203474835,0.0042834731605644,0.00199824647930266,0.00169127034948463,0.00119736032624376,0.00341619498579045,0.00328097063518994,0.00397089872032596,0.00397427465107295,0.00209187417536572,0.00437000764029765,0.00299311241145345,0.00476829303152762,0.00448237763213419,0.00330162782073296,0.00121140603961412,0.00234271867922133,0.00240666046767507,0.001241593524381,0.00352114067753365,0.00463820177241424,0.00421528116984585,0.00318798378515801,0.00263134481148725,0.00247036100014829,0.00480379927813146,0.00373434483873748,0.00256562839865691,0.00402292074248302,0.00198220533493635,0.0030518418093952,0.00379381294628155,0.00385624467274032,0.00420339021779366,0.00477062534284722
"AL",0.00293768270958841,0.00631281289082194,0.00534289620173486,0.00142149435229816,0.00138734410122663,0.00186839605626649,0.00142081310688309,0.00138184342846838,0.00333087577731442,0.00263606608646192,0.00467150037412745,0.00146342629411568,0.00406735332520637,0.00391700530744675,0.00146601277771997,0.00464658593958743,0.00432753765377727,0.00490055333575772,0.00513320566071935,0.00129194179150212,0.00143848705189655,0.00337682445224885,0.00411001823002675,0.00347847715136246,0.00475855067292011,0.0051579926325036,0.00403977357668204,0.00539680598211579,0.0041365927099434,0.00376683067726641,0.00294630461908609,0.00124237733006578,0.00130959730802139,0.00129164993074385,0.00123332387126172,0.00426157316385419,0.00472170337941128,0.0031543858699002,0.00360072216347088,0.00162096319837577,0.00550286798733487,0.0042709877610538,0.00527709911837538,0.00135812661236106,0.00185552649181433,0.00366187515356838,0.0025863030141597,0.00195122156823356,0.00366171722769363,0.00481600531677289,0.0043943070070912
"AR",0.00399320121568757,0.00534289620173486,0.00622973648384075,0.0019648632587467,0.00135256160373268,0.00271529075745727,0.00150972580161885,0.00142510234719356,0.00313069338200188,0.00261699699304823,0.00398316602163577,0.00141126198980119,0.00465812794348838,0.00462208787608405,0.00176963837920485,0.00511638091280457,0.0050094131294867,0.00534792115259563,0.00459372382206165,0.00139411678799219,0.00135216103849871,0.00374830207512971,0.00434219902472402,0.00408323716186269,0.00511205716649983,0.00460987251346797,0.00461995146092612,0.00529926259642177,0.00481855749983178,0.00440909235631929,0.00337535773334284,0.00124977981220157,0.00133785788983608,0.00141562630753406,0.00124400300154333,0.00454302421692962,0.00521213920823704,0.00390163467464901,0.00390233734786364,0.00205549392570404,0.00513094803646901,0.00496263619796932,0.0054821948311687,0.00133679679644715,0.00259896141650736,0.00357540494719494,0.00298479270687644,0.00273210693131959,0.00416355956520253,0.00522036970227482,0.00502434117634822
"AZ",0.0036097978876749,0.00142149435229816,0.0019648632587467,0.00642081599403489,0.00383974655868376,0.00386307114313128,0.00351914061183474,0.00137040070908516,0.00242510472753603,0.00386075054166748,0.00122245576759061,0.00319833627062868,0.00302402114361996,0.00337412736103558,0.00390247832081819,0.0028895909889813,0.00272345068693012,0.00255200693852968,0.00136580724547683,0.00342986981964585,0.00143086338852022,0.00293644642288144,0.00310187298312302,0.00315839169190283,0.00262584245092767,0.00129224994845159,0.00285761691609868,0.00157444808873368,0.00276607699829131,0.00332542407983956,0.00304659528727709,0.00366032836040463,0.00399244501403437,0.00530423189347975,0.00366615529915438,0.00310791370482353,0.00267816675748173,0.00384050051659619,0.00340474874391807,0.00421685255015407,0.00141066578517253,0.00283985653831171,0.00198983787257253,0.00374828396211562,0.00358003248978222,0.00187031032249119,0.00261649032001036,0.00445984135189267,0.00332843029718949,0.00267800435436839,0.00277370842997795
"CA",0.0015038017189639,0.00138734410122663,0.00135256160373268,0.00383974655868376,0.00639757577822766,0.00181819936866686,0.00204658852996592,0.00215473215844819,0.00139212496722108,0.00221158493876817,0.00134234240885518,0.00492483312166373,0.0012900360616995,0.0013139015190941,0.00243879061227188,0.00131013082146441,0.00133200219910673,0.00132758514922952,0.00134755165184997,0.0022530740908709,0.00152034023991813,0.00137412367315429,0.00139313582301068,0.00140215733785066,0.0013047411323198,0.00151163517787016,0.00129158519504635,0.00135552373295112,0.00130717524756509,0.00131512293670691,0.00143590202720085,0.0035592560325287,0.00444206743782629,0.00417339950756326,0.0038008637267533,0.00138082013785402,0.00145383940287279,0.00148144118255711,0.00147406375794727,0.00220803753898258,0.00139425629567513,0.00131233944406466,0.00134989890665999,0.00400085246968835,0.0015171972890457,0.00135447621999982,0.001384633098519,0.00210917448391164,0.00140406935222316,0.00131313695008955,0.00131242393959738
"CO",0.00375625638622658,0.00186839605626649,0.00271529075745727,0.00386307114313128,0.00181819936866686,0.00619855630338681,0.00376105410800084,0.00134900690682628,0.00237680251868987,0.00251442584433383,0.00127342324121978,0.00136418584290452,0.00406794823589277,0.0042854765389686,0.00378245935782805,0.00377925950863368,0.00421540695534793,0.00352017407332286,0.00137784290465332,0.00413239584512953,0.00145198297341465,0.0037182893863741,0.00367296083494715,0.00467704982974793,0.00373313036057834,0.00136820952450284,0.00405103471401065,0.00239828365716378,0.00406951346510477,0.00445796494942634,0.00417112828320963,0.00291766690461948,0.00157230865294589,0.00262291399952137,0.00273579688006442,0.00384069132690055,0.00328995754780129,0.0048199225590531,0.00405763319373887,0.00425469602568472,0.00173541250087443,0.00396759787215377,0.00296241830510114,0.00159887231005273,0.00434809518416794,0.00357198437518899,0.00363498205405422,0.00508199028616765,0.0041585586979281,0.00344243002658078,0.00385936796636888
"CT",0.00173296302018689,0.00142081310688309,0.00150972580161885,0.00351914061183474,0.00204658852996592,0.00376105410800084,0.006411558051215,0.00148918908531822,0.00443299140025752,0.0041110452185998,0.00129607724768742,0.00180450866368721,0.00321047565817932,0.00272131808092606,0.00490694811797456,0.00248662392867251,0.00221757439167486,0.00216637360507058,0.00136969014621169,0.00541338542211481,0.00310396082592819,0.00426195345017512,0.00383504982872881,0.00383024383960429,0.00264613988738227,0.00121065968874421,0.00322310776690144,0.00181867234412703,0.00250931386458385,0.00315570989526002,0.00461507386059857,0.00465536481206902,0.00195056067186208,0.00325087590786707,0.00413870249236276,0.00352351827115638,0.0013530984441652,0.00395145792007666,0.00437118316784501,0.00531432999541804,0.00157614866658588,0.00257117465537196,0.00165900116542731,0.00134231653888058,0.00276525661621581,0.0040328923100786,0.0045557355820107,0.00455111671538075,0.00397646671944195,0.00251177634502628,0.00239466121871512
"DC",0.00147788931503787,0.00138184342846838,0.00142510234719356,0.00137040070908516,0.00215473215844819,0.00134900690682628,0.00148918908531822,0.00623922084334002,0.00151854984417448,0.00138385854260305,0.00140601899473675,0.00168853542281812,0.00133972728486317,0.00136388732544227,0.00169822389439209,0.00134629735060423,0.00140662692941905,0.00138537647697797,0.00136574956233502,0.00197250954275789,0.00418518792028385,0.00129275568369968,0.00131791950845042,0.00130341141142982,0.00133457267255094,0.00129214041472085,0.00136522636558429,0.0013559408280401,0.00140307131092441,0.00133113634753115,0.00131732668196193,0.00256753462755313,0.00134671669018829,0.00136354995268604,0.00292389619493328,0.00127903830210735,0.00143355742591184,0.00130585095501394,0.0013316078927113,0.00143733944564495,0.00135345448588164,0.00140888797440295,0.00139246372932983,0.00135837391896263,0.00134340909268193,0.00146418388344745,0.00135309548305875,0.00131433147189808,0.00128751380179301,0.00137374812695068,0.00141553962760303
"DE",0.00164442915515139,0.00333087577731442,0.00313069338200188,0.00242510472753603,0.00139212496722108,0.00237680251868987,0.00443299140025752,0.00151854984417448,0.00638984155285321,0.00441042918997201,0.00326215895472006,0.00134854163768951,0.00394623889428157,0.00326400037717148,0.00447176560657309,0.00373543541168772,0.00287118189966439,0.00348522169169629,0.00355276407990972,0.00380860250733933,0.00330531053466268,0.00445187531018466,0.00491757804681501,0.00395204772960703,0.00389726143764543,0.00284871427698519,0.00367705876449491,0.00383358818259307,0.00312848160166829,0.00356321723041519,0.00437801330096892,0.00318800604057112,0.00138345568174778,0.00266179367556976,0.00304655517722577,0.00459058146298995,0.00219093448130322,0.00375019975401119,0.0049100630546072,0.00439075352995475,0.00381980520650271,0.00324829877296797,0.00331737487063486,0.00130022364763106,0.00226820648992488,0.00484052609107627,0.00433368946717932,0.00345454483348798,0.00444583386642078,0.00370890641878666,0.00309945724276241
"FL",0.00190343969664535,0.00263606608646192,0.00261699699304823,0.00386075054166748,0.00221158493876817,0.00251442584433383,0.0041110452185998,0.00138385854260305,0.00441042918997201,0.00624886087850548,0.00205982380177414,0.00212074539369,0.00309504658025354,0.00290070658388483,0.00410723336709273,0.00312260680299899,0.00249177980527,0.0029663159006396,0.00236829912691385,0.00326221771686969,0.00247098945480378,0.00379614311989057,0.00408352117258053,0.00317977033009684,0.00316275968018957,0.00192470093147916,0.00313959896867853,0.00298689451033236,0.00234348211283459,0.00299748847672497,0.00375573884780928,0.00382576823375281,0.00261404181474789,0.00407020807970912,0.00352460525166763,0.00384285098271787,0.00244559785197935,0.00386150914766772,0.00440654159218247,0.00424476368675088,0.00292354131034877,0.00268780068532554,0.00281089856359907,0.00181371834853822,0.00164490780708423,0.00342683444304684,0.00326163963648977,0.00356325589629849,0.00371229254051747,0.00337434051061007,0.00271030538183322
