state,approve,disapprove
AK,0.49,0.49
AL,0.59,0.38
AR,0.64,0.34
AZ,0.44,0.54
CA,0.28,0.69
CO,0.39,0.58
CT,0.37,0.61
DE,0.37,0.61
FL,0.46,0.52
GA,0.46,0.51
HI,0.28,0.7
IA,0.48,0.5
ID,0.62,0.35
IL,0.36,0.62
IN,0.53,0.44
KS,0.51,0.47
KY,0.57,0.4
LA,0.53,0.45
MA,0.28,0.7
MD,0.29,0.69
ME,0.39,0.58
MI,0.43,0.55
MN,0.41,0.57
MO,0.54,0.43
MS,0.55,0.43
MT,0.5,0.48
NC,0.46,0.52
ND,0.63,0.35
NE,0.57,0.4
NH,0.37,0.6
NJ,0.37,0.61
NM,0.42,0.55
NV,0.41,0.56
NY,0.33,0.65
OH,0.49,0.48
OK,0.6,0.37
OR,0.36,0.63
PA,0.43,0.54
RI,0.35,0.63
SC,0.52,0.46
SD,0.61,0.37
TN,0.58,0.4
TX,0.49,0.49
UT,0.51,0.47
VA,0.42,0.56
VT,0.25,0.73
WA,0.33,0.64
WI,0.45,0.53
WV,0.66,0.31
WY,0.66,0.3
